t_s,mq2_adc,soil1_adc,soil2_adc,temp_c,humidity_pct,gas_alert,garden_dry,leak_alert,fan1,fan2,pump,face_event,face_score,inference_ms
0,61,520,38,24,55,0,0,0,0,0,0,,0.683,116
1,67,511,33,24,55,0,0,0,0,0,0,,0.663,114
2,66,519,39,24,55,0,0,0,0,0,0,,0.542,121
3,68,519,39,24,56,0,0,0,0,0,0,,0.504,75
4,67,504,31,24,56,0,0,0,0,0,0,,0.451,81
5,67,500,40,24,56,0,0,0,0,0,0,,0.522,95
6,65,510,34,24,57,0,0,0,0,0,0,,0.472,134
7,67,508,38,24,57,0,0,0,0,0,0,,0.573,121
8,67,496,38,24,57,0,0,0,0,0,0,,0.538,93
9,69,496,40,24,58,0,0,0,0,0,0,,0.596,111
10,68,490,35,24,58,0,0,0,0,0,0,,0.477,102
11,67,500,39,24,58,0,0,0,0,0,0,,0.544,130
12,67,499,38,24,58,0,0,0,0,0,0,,0.631,130
13,72,499,36,24,59,0,0,0,0,0,0,,0.671,91
14,74,495,39,24,59,0,0,0,0,0,0,,0.674,105
15,72,496,30,24,59,0,0,0,0,0,0,,0.551,124
16,69,479,38,25,60,0,0,0,0,0,0,,0.66,81
17,73,495,36,25,60,0,0,0,0,0,0,,0.515,105
18,69,477,40,25,60,0,0,0,0,0,0,,0.595,118
19,71,489,34,25,60,0,0,0,0,0,0,,0.546,117
20,70,487,40,25,60,0,0,0,0,0,0,,0.526,105
21,74,480,36,25,61,0,0,0,0,0,0,,0.421,128
22,70,466,30,25,61,0,0,0,0,0,0,,0.402,131
23,72,478,38,25,61,0,0,0,0,0,0,,0.674,98
24,69,470,37,25,61,0,0,0,0,0,0,,0.513,124
25,73,475,36,25,61,0,0,0,0,0,0,recognized,0.789,128
26,69,468,37,25,61,0,0,0,0,0,0,,0.671,81
27,70,472,34,25,61,0,0,0,0,0,0,,0.509,86
28,69,469,31,25,61,0,0,0,0,0,0,,0.577,132
29,69,463,31,25,61,0,0,0,0,0,0,,0.418,129
30,68,454,37,25,61,0,0,0,0,0,0,,0.671,80
31,65,462,39,25,61,0,0,0,0,0,0,,0.541,128
32,64,465,33,25,61,0,0,0,0,0,0,,0.437,114
33,64,461,34,25,61,0,0,0,0,0,0,,0.584,115
34,65,446,30,25,61,0,0,0,0,0,0,,0.46,112
35,66,455,32,25,61,0,0,0,0,0,0,,0.541,105
36,66,442,39,25,61,0,0,0,0,0,0,,0.657,107
37,63,438,36,25,61,0,0,0,0,0,0,,0.584,134
38,62,452,34,25,61,0,0,0,0,0,0,,0.528,99
39,67,436,38,25,61,0,0,0,0,0,0,,0.632,99
40,60,433,36,25,61,0,0,0,0,0,0,,0.661,78
41,65,439,40,25,61,0,0,0,0,0,0,,0.474,124
42,59,426,38,25,61,0,0,0,0,0,0,,0.517,118
43,60,438,35,25,60,0,0,0,0,0,0,,0.67,106
44,60,440,39,25,60,0,0,0,0,0,0,,0.632,84
45,61,436,33,25,60,0,0,0,0,0,0,,0.502,96
46,59,437,33,25,60,0,0,0,0,0,0,,0.587,79
47,60,428,30,25,59,0,0,0,0,0,0,,0.418,133
48,56,415,40,25,59,0,0,0,0,0,0,,0.541,128
49,55,426,40,25,59,0,0,0,0,0,0,,0.416,120
50,60,410,32,25,59,0,0,0,0,0,0,,0.576,88
51,60,424,32,25,58,0,0,0,0,0,0,,0.406,129
52,55,418,34,25,58,0,0,0,0,0,0,unknown,0.312,80
53,57,413,32,25,58,0,0,0,0,0,0,,0.47,91
54,57,417,36,25,57,0,0,0,0,0,0,,0.451,86
55,56,416,37,25,57,0,0,0,0,0,0,,0.506,108
56,68,414,34,25,57,0,0,0,0,0,0,,0.636,129
57,71,403,30,25,57,0,0,0,0,0,0,,0.684,131
58,81,414,35,25,56,0,0,0,0,0,0,,0.493,125
59,92,397,30,25,56,0,0,0,0,0,0,,0.473,85
60,96,407,40,25,55,0,0,0,0,0,0,,0.55,109
61,103,391,39,25,55,0,0,0,0,0,0,,0.601,110
62,116,404,33,25,55,0,0,0,0,0,0,,0.549,111
63,121,401,32,25,55,0,0,0,0,0,0,,0.386,91
64,127,395,32,25,55,0,0,0,0,0,0,,0.387,78
